RHC,876,0.117,0.118,38.861,0.353
SA,876,0.117,0.118,39.422,0.187
GA,876,0.117,0.118,2666.813,0.082
RHC,871,0.117,0.119,43.469,0.402
SA,871,0.129,0.130,39.279,0.199
GA,871,0.117,0.118,2673.397,0.094
RHC,881,0.117,0.118,40.252,0.477
SA,881,0.883,0.882,41.828,0.194
GA,881,0.117,0.118,2707.903,0.061
RHC,886,0.117,0.118,40.044,0.453
SA,886,0.117,0.118,39.604,0.215
GA,886,0.117,0.118,2719.121,0.062
RHC,896,0.117,0.118,45.333,0.350
SA,896,0.117,0.118,41.667,0.196
GA,896,0.117,0.118,2762.106,0.054
RHC,931,0.117,0.118,28.638,0.329
SA,931,0.147,0.146,28.634,0.133
GA,931,0.117,0.118,2751.716,0.121
RHC,906,0.117,0.118,28.272,0.303
SA,906,0.883,0.882,26.685,0.170
GA,906,0.117,0.118,2822.776,0.251
RHC,921,0.117,0.118,28.895,0.272
SA,921,0.117,0.118,26.928,0.169
GA,921,0.117,0.118,2831.828,0.186
RHC,916,0.117,0.118,26.782,0.283
SA,916,0.883,0.882,27.925,0.132
GA,916,0.117,0.118,2843.263,0.180
RHC,901,0.117,0.118,26.095,0.282
SA,901,0.122,0.123,27.090,0.144
GA,901,0.117,0.118,2865.310,0.170
RHC,911,0.117,0.118,26.994,0.261
SA,911,0.174,0.173,28.399,0.154
GA,911,0.117,0.118,2979.333,0.153
RHC,926,0.117,0.118,25.374,0.231
SA,926,0.117,0.118,28.570,0.153
GA,926,0.117,0.118,3001.345,0.127
RHC,936,0.117,0.118,57.182,0.447
SA,936,0.117,0.118,44.833,0.187
GA,936,0.117,0.118,2882.451,0.113
RHC,946,0.117,0.118,52.778,0.489
SA,946,0.117,0.118,41.788,0.161
GA,946,0.117,0.118,2911.226,0.104
RHC,951,0.117,0.118,54.769,0.428
SA,951,0.117,0.118,42.326,0.158
GA,951,0.117,0.118,2924.215,0.084
RHC,966,0.117,0.118,56.968,0.439
SA,966,0.117,0.118,44.412,0.161
GA,966,0.117,0.118,2990.544,0.078
RHC,961,0.117,0.118,54.093,0.525
SA,961,0.136,0.138,45.601,0.188
GA,961,0.117,0.118,3120.213,0.159
RHC,941,0.117,0.118,52.709,0.504
